var,model,k,AICc,R2m,R2c,b0,term1,m1,term2,m2,term3,m3,term4,m4
Chl,3,4,339.1,0.11,0.32,0.018 ± 0.3,TDN,8 ± 3**,days_since_iceout,0.0018 ± 0.003,Temp,8e-04 ± 0.02,,-
Chl,3,4,339.1,0.11,0.32,0.013 ± 0.3,TDN,8.3 ± 3**,TDP,31 ± 40,Temp,0.0026 ± 0.02,,-
log10Chl,3,4,82.86,0.25,0.41,0.97 ± 0.8,TDN,4.5 ± 1***,solarjas,-0.00038 ± 2e-04*,Temp,0.0094 ± 0.008,,-
log10Chl,3,4,84.47,0.17,0.43,-0.8 ± 0.1,TDN,3.7 ± 1**,days_since_iceout,0.0017 ± 0.001,Temp,0.0022 ± 0.008,,-
TDN,2x,4,-873.6,0.53,0.7,0.048 ± 0.02,forest,0.0019 ± 3e-04***,iceoutd,-0.00014 ± 9e-05. ,-,-,iceoutd:forest,-6.8e-06 ± 2e-06***
TDP,1,2,-1768,0.057,0.077,0.0028 ± 3e-04,SWE,-5.7e-06 ± 2e-06**,-,-,-,-,,-
TDP,2,3,-1767,0.063,0.078,0.0026 ± 4e-04,SWE,-5.7e-06 ± 2e-06**,forest,4.5e-06 ± 5e-06,-,-,,-
SO4,1,2,650.3,0.023,0.55,1.9 ± 0.8,SO4dep,-0.12 ± 0.1,-,-,-,-,,-
SO4,1,2,650.6,0.0021,0.55,1.5 ± 0.4,SWE,-0.0013 ± 0.002,-,-,-,-,,-
SO4,1,2,651,0.0041,0.55,0.87 ± 1,hydro,0.19 ± 0.5,-,-,-,-,,-
SO4,1,2,651.1,1.1e-05,0.55,1.3 ± 0.4,days_since_iceout,-0.00024 ± 0.004,-,-,-,-,,-
SO4,1,2,651.1,1.7e-06,0.55,1.3 ± 0.8,iceoutd,8.5e-05 ± 0.004,-,-,-,-,,-
SO4,2,3,651.9,0.025,0.55,2.1 ± 0.8,SO4dep,-0.11 ± 0.1,SWE,-0.0013 ± 0.002,-,-,,-
log10Clad,3,4,282.5,0.26,0.78,0.1 ± 0.3,Temp,0.096 ± 0.02***,days_since_iceout,0.011 ± 0.002***,Chl,0.061 ± 0.07,,-
log10Clad,3,4,283.7,0.28,0.77,3.1 ± 0.7,iceoutd,-0.011 ± 0.002***,Temp,0.077 ± 0.02***,Chl,0.061 ± 0.07,,-
log10Rot,2,3,368.6,0.15,0.66,1.3 ± 0.4,Temp,0.12 ± 0.02***,Chl,0.17 ± 0.1. ,-,-,,-
log10Rot,3,4,368.3,0.15,0.68,1.1 ± 0.5,Temp,0.11 ± 0.02***,Ca,0.053 ± 0.06,Chl,0.16 ± 0.1,,-
log10Rot,3,4,368.7,0.14,0.67,2.6 ± 1,Temp,0.087 ± 0.03**,Chl,0.14 ± 0.1,iceoutd,-0.0049 ± 0.003,,-
log10Rot,3,4,369.4,0.13,0.67,1.4 ± 0.4,Temp,0.1 ± 0.03***,Chl,0.15 ± 0.1,days_since_iceout,0.0038 ± 0.003,,-
log10Cope,3,4,199.8,0.081,0.71,3.2 ± 0.2,days_since_iceout,-0.0083 ± 0.002***,Chl,0.062 ± 0.05,Temp,0.013 ± 0.01,,-
SWE,2x,4,1778,0.48,0.84,460 ± 300,solarjas,-0.13 ± 0.07. ,iceoutd,-2.1 ± 2,-,-,iceoutd:solarjas,0.00081 ± 3e-04*
iceoutd,1,2,1708,0.039,0.077,170 ± 7,solardec,0.044 ± 0.02*,-,-,-,-,,-
iceoutd,2,3,1709,0.043,0.077,160 ± 20,solardec,0.038 ± 0.02. ,elev,0.0098 ± 0.01,-,-,,-
iceoutd,2,3,1709,0.044,0.078,170 ± 7,solardec,0.047 ± 0.02*,vol,-2.9e-05 ± 3e-05,-,-,,-
Cond,1,2,1848,0.0092,0.15,88 ± 40,iceoutd,-0.24 ± 0.2,-,-,-,-,,-
Cond,1,2,1849,0.0023,0.15,51 ± 20,SWE,-0.054 ± 0.09,-,-,-,-,,-
Cond,1,2,1849,0.0074,0.15,49 ± 10,vol,-7.8e-05 ± 1e-04,-,-,-,-,,-
Ca,2x,4,592.2,0.025,0.94,9.9 ± 1,iceoutd,-0.026 ± 0.004***,vol,-1.9e-05 ± 1e-05. ,-,-,vol:iceoutd,1.2e-07 ± 2e-08***
Cl,2,3,-92.5,0.3,0.58,0.27 ± 0.1,Cldep,0.015 ± 0.004***,iceoutd,-0.00079 ± 4e-04. ,-,-,,-
Cl,2,3,-93.42,0.29,0.6,0.19 ± 0.06,Cldep,0.015 ± 0.004***,SWE,-0.00044 ± 2e-04*,-,-,,-
Cl,3,4,-92.36,0.33,0.58,0.43 ± 0.2,Cldep,0.014 ± 0.004***,hydro,-0.067 ± 0.05,iceoutd,-0.00079 ± 4e-04. ,,-
Cl,3,4,-93.09,0.32,0.6,0.35 ± 0.1,Cldep,0.014 ± 0.004**,hydro,-0.068 ± 0.05,SWE,-0.00043 ± 2e-04*,,-
Cl,2x,4,-93.53,0.29,0.6,0.13 ± 0.08,Cldep,0.02 ± 0.005***,SWE,-4.4e-06 ± 4e-04,-,-,SWE:Cldep,-3.3e-05 ± 2e-05
K,2,3,-682.6,0.18,0.78,0.18 ± 0.01,grw,-0.00051 ± 2e-04*,SWE,-0.00022 ± 4e-05***,-,-,,-
K,2x,4,-683,0.2,0.79,0.19 ± 0.02,SWE,-0.00027 ± 5e-05***,grw,-7e-04 ± 3e-04*,-,-,SWE:grw,1.3e-06 ± 8e-07
Mg,2x,4,-242,0.025,0.9,0.77 ± 0.1,iceoutd,-0.002 ± 3e-04***,vol,-1.7e-06 ± 8e-07. ,-,-,iceoutd:vol,8.2e-09 ± 2e-09***
Na,2x,4,-84.94,0.13,0.81,0.92 ± 0.3,hydro,0.16 ± 0.2,iceoutd,7e-04 ± 0.001,-,-,hydro:iceoutd,-0.0015 ± 6e-04*
Na,2x,4,-86.61,0.089,0.81,1.4 ± 0.1,iceoutd,-0.0036 ± 6e-04***,vol,-1.3e-06 ± 1e-06,-,-,iceoutd:vol,1.1e-08 ± 4e-09**
