"","V1","V2","V3","V4","V5"
"park_code","MORA","NOCA","OLYM","overall",NA
"hyd1"," 2"," 0"," 1",NA,NA
"hyd2"," 2"," 3"," 6",NA,NA
"hyd3"," 2"," 3"," 2",NA,NA
"salmoadults"," 4"," 0",NA,NA,NA
"andesite"," 4"," 0"," 0",NA,NA
"basalt"," 1"," 0"," 1",NA,NA
"biotitegneiss"," 0"," 2"," 0",NA,NA
"granodiorite"," 0"," 3"," 0",NA,NA
"graywacke"," 0"," 0"," 6",NA,NA
"quartzmonzonite"," 1"," 0"," 0",NA,NA
"quartzmonzodiorite"," 0"," 1"," 0",NA,NA
"sandstone"," 0"," 0"," 2",NA,NA
