"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Ca","(Intercept)",9.9,1.4,152,7.296,1.5e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_ice_out_doy*Volume_m3","vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","0","","","","","","",175,592.2,"vari1vari2",0
"Ca","iceout_doy",-0.026,0.0036,152,-7.244,2e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_ice_out_doy*Volume_m3","vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","","1","","","","","",175,592.2,"vari1vari2",0
"Ca","iceout_doy:volume",1.2e-07,2.4e-08,152,4.956,1.9e-06,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_ice_out_doy*Volume_m3","vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","","","","","4","","",175,592.2,"vari1vari2",0
"Ca","volume",-1.9e-05,1.1e-05,19,-1.779,0.091,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_ice_out_doy*Volume_m3","vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","","","2","","","","",175,592.2,"vari1vari2",0
"Ca","(Intercept)",9.9,1.4,152,7.296,1.5e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_Volume_m3*ice_out_doy","vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","0","","","","","","",175,592.2,"vari1vari2",0
"Ca","volume:iceout_doy",1.2e-07,2.4e-08,152,4.956,1.9e-06,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_Volume_m3*ice_out_doy","vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","","","","","4","","",175,592.2,"vari1vari2",0
"Ca","volume",-1.9e-05,1.1e-05,19,-1.779,0.091,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_Volume_m3*ice_out_doy","vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","","","2","","","","",175,592.2,"vari1vari2",0
"Ca","iceout_doy",-0.026,0.0036,152,-7.244,2e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"Ca_Volume_m3*ice_out_doy","vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","","1","","","","","",175,592.2,"vari1vari2",0
"Ca","(Intercept)",6.9,1.2,152,5.708,5.8e-08,0.9859,-296.3,623.7,592.7,0.02744,0.9384,4,4,"Ca_SWE_May_snotel*Volume_m3","vari1*vari2","value_formodel ~ SWE_May_snotel * Volume_m3","~1 | park_site","value","0","","","","","","",175,600.9,"vari1vari2",8.69999999999993
"Ca","SWE",-0.013,0.002,152,-6.359,2.3e-09,0.9859,-296.3,623.7,592.7,0.02744,0.9384,4,4,"Ca_SWE_May_snotel*Volume_m3","vari1*vari2","value_formodel ~ SWE_May_snotel * Volume_m3","~1 | park_site","value","","1","","","","","",175,600.9,"vari1vari2",8.69999999999993
