"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Chl","days_since_iceout",0.0056,0.0022,135,2.573,0.011,0.7457,-187.8,395.9,375.7,0.03487,0.23,2,2,"Chl_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",136,379.7,"vari1",42.3
"Chl","(Intercept)",0.87,0.25,136,3.475,0.00069,0.7634,-189.6,399.4,379.2,0.0409,0.1927,2,2,"Chl_solar_dec","vari1","value_formodel ~ solar_dec","~1 | park_site","value","0","","","","","","",136,383.3,"vari1",45.9
"Chl","solar_dec",-0.0013,0.00071,19,-1.789,0.09,0.7634,-189.6,399.4,379.2,0.0409,0.1927,2,2,"Chl_solar_dec","vari1","value_formodel ~ solar_dec","~1 | park_site","value","","1","","","","","",136,383.3,"vari1",45.9
"Chl","(Intercept)",0.35,0.12,135,2.817,0.0056,0.7598,-189.9,400,379.8,0.01398,0.1937,2,2,"Chl_TDP","vari1","value_formodel ~ TDP","~1 | park_site","value","0","","","","","","",136,383.9,"vari1",46.5
"Chl","TDP",61,39,135,1.544,0.12,0.7598,-189.9,400,379.8,0.01398,0.1937,2,2,"Chl_TDP","vari1","value_formodel ~ TDP","~1 | park_site","value","","1","","","","","",136,383.9,"vari1",46.5
"Chl","(Intercept)",0.79,1.9,136,0.4091,0.68,0.7637,-191.1,402.4,382.2,0.0004285,0.191,2,2,"Chl_solar_jas","vari1","value_formodel ~ solar_jas","~1 | park_site","value","0","","","","","","",136,386.3,"vari1",48.9
"Chl","solar_jas",-7.1e-05,0.00041,19,-0.1731,0.86,0.7637,-191.1,402.4,382.2,0.0004285,0.191,2,2,"Chl_solar_jas","vari1","value_formodel ~ solar_jas","~1 | park_site","value","","1","","","","","",136,386.3,"vari1",48.9
"Cl","(Intercept)",0.12,0.054,155,2.295,0.023,0.1641,47.73,-74.78,-95.46,0.2793,0.5848,2,2,"Cl_Cl_dep_2000_2009","vari1","value_formodel ~ Cl_dep_2000_2009","~1 | park_site","value","0","","","","","","",176,-91.39,"vari1",2.14
"Cl","Cl_dep_2000_2009",0.015,0.0037,19,4.04,7e-04,0.1641,47.73,-74.78,-95.46,0.2793,0.5848,2,2,"Cl_Cl_dep_2000_2009","vari1","value_formodel ~ Cl_dep_2000_2009","~1 | park_site","value","","1","","","","","",176,-91.39,"vari1",2.14
"Cl","(Intercept)",0.37,0.056,154,6.515,9.8e-10,0.1616,43.98,-67.28,-87.97,0.01645,0.601,2,2,"Cl_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",176,-83.9,"vari1",9.63
"Cl","SWE",-0.00048,0.00022,154,-2.177,0.031,0.1616,43.98,-67.28,-87.97,0.01645,0.601,2,2,"Cl_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",176,-83.9,"vari1",9.63
"Cl","(Intercept)",0.53,0.14,155,3.73,0.00027,0.1642,43.1,-65.52,-86.2,0.0844,0.585,2,2,"Cl_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","0","","","","","","",176,-82.13,"vari1",11.4
"Cl","hydro",-0.11,0.063,19,-1.769,0.093,0.1642,43.1,-65.52,-86.2,0.0844,0.585,2,2,"Cl_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","","1","","","","","",176,-82.13,"vari1",11.4
"Cl","(Intercept)",0.42,0.094,154,4.452,1.6e-05,0.1633,42.78,-64.88,-85.57,0.00674,0.5804,2,2,"Cl_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",176,-81.5,"vari1",12.03
"Cl","iceout_doy",-0.00068,0.00044,154,-1.52,0.13,0.1633,42.78,-64.88,-85.57,0.00674,0.5804,2,2,"Cl_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",176,-81.5,"vari1",12.03
"Cl","(Intercept)",0.27,0.051,154,5.383,2.7e-07,0.1638,41.94,-63.21,-83.89,0.001615,0.5865,2,2,"Cl_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",176,-79.82,"vari1",13.71
"Cl","days_since_iceout",0.00037,0.00047,154,0.794,0.43,0.1638,41.94,-63.21,-83.89,0.001615,0.5865,2,2,"Cl_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",176,-79.82,"vari1",13.71
"Clad","(Intercept)",2300,850,116,2.718,0.0076,7912,-1437,2893,2874,0.0002258,0.03679,2,2,"Clad_Chl","vari1","value_formodel ~ Chl","~1 | park_site","value","0","","","","","","",154,2878,"vari1",258
"Clad","Chl",140,780,116,0.172,0.86,7912,-1437,2893,2874,0.0002258,0.03679,2,2,"Clad_Chl","vari1","value_formodel ~ Chl","~1 | park_site","value","","1","","","","","",154,2878,"vari1",258
"Clad","(Intercept)",74,2200,123,0.03309,0.97,7761,-1506,3031,3012,0.00803,0.02665,2,2,"Clad_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","0","","","","","","",154,3016,"vari1",396
"Clad","Watertemp",160,160,123,1.051,0.3,7761,-1506,3031,3012,0.00803,0.02665,2,2,"Clad_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","","1","","","","","",154,3016,"vari1",396
"Clad","(Intercept)",3200,1400,132,2.278,0.024,9052,-1623,3267,3247,0.001804,0.02733,2,2,"Clad_Ca","vari1","value_formodel ~ Ca","~1 | park_site","value","0","","","","","","",154,3251,"vari1",631
"Clad","Ca",-100,210,132,-0.4871,0.63,9052,-1623,3267,3247,0.001804,0.02733,2,2,"Clad_Ca","vari1","value_formodel ~ Ca","~1 | park_site","value","","1","","","","","",154,3251,"vari1",631
"Clad","(Intercept)",-780,1400,152,-0.5588,0.58,8345,-1821,3663,3642,0.04131,0.08113,2,2,"Clad_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",154,3647,"vari1",1027
