"variable","model","val.int","se.int","pval.int","sig.int","term","val.coef","se.coef","pval.coef","sig.coef"
"secchi_value_m",6.1,7.3,0.77,9.2e-09,"***","yr:Watershed_area_to_lake_area_ratio",-0.0071,0.0066,0.3,""
"secchi_value_m",7.1,7.9,0.79,2.8e-09,"***","yr:Aspect3EWSouthy",-1.3,0.57,0.041,"*"
"secchi_value_m",7.1,7.9,0.79,2.8e-09,"***","yr:Aspect3Northy",-1.9,0.6,0.0053,"**"
"SO4",2.1,1.6,0.5,0.0037,"***","yr:Depth_mean_m",-0.086,0.15,0.56,""
"SO4",3.1,1.6,0.46,0.0024,"***","yr:Volume_m3",-3e-06,4.2e-06,0.48,""
"SO4",4.1,1.2,0.46,0.014,"*","yr:Watershed_area_ha",0.0089,0.0073,0.24,""
"SO4",5.1,1.5,0.51,0.0074,"**","yr:Elevation_m",-5.8e-05,0.00038,0.88,""
"SO4",6.1,1,0.38,0.014,"*","yr:Watershed_area_to_lake_area_ratio",0.02,0.0047,4e-04,"***"
"SO4",7.1,1.5,0.52,0.0095,"**","yr:Aspect3EWSouthy",-0.63,0.76,0.42,""
"SO4",7.1,1.5,0.52,0.0095,"**","yr:Aspect3Northy",0.57,0.74,0.45,""
"SpCond_top2m",2.1,36,5.7,4.5e-06,"***","yr:Depth_mean_m",0.56,0.76,0.47,""
"SpCond_top2m",3.1,36,5.6,3e-06,"***","yr:Volume_m3",1e-05,2.4e-05,0.68,""
"SpCond_top2m",4.1,33,5.4,5.1e-06,"***","yr:Watershed_area_ha",0.12,0.032,0.00081,"***"
"SpCond_top2m",5.1,34,5.7,8.5e-06,"***","yr:Elevation_m",0.0033,0.0017,0.073,""
"SpCond_top2m",6.1,33,4.8,8.4e-07,"***","yr:Watershed_area_to_lake_area_ratio",0.14,0.015,7.9e-09,"***"
"SpCond_top2m",7.1,34,5.5,5.7e-06,"***","yr:Aspect3EWSouthy",1.2,3.9,0.77,""
"SpCond_top2m",7.1,34,5.5,5.7e-06,"***","yr:Aspect3Northy",9.1,3.8,0.026,"*"
"Total N",2.1,0.039,0.0086,0.00021,"***","yr:Depth_mean_m",0.0062,0.0031,0.064,""
"Total N",3.1,0.047,0.0078,7.4e-06,"***","yr:Volume_m3",7e-08,9e-08,0.44,""
"Total N",4.1,0.045,0.0079,1.5e-05,"***","yr:Watershed_area_ha",0.00017,0.00016,0.28,""
"Total N",5.1,0.027,0.0081,0.0032,"***","yr:Elevation_m",2.9e-05,7.1e-06,0.00053,"***"
"Total N",6.1,0.048,0.0073,1.9e-06,"***","yr:Watershed_area_to_lake_area_ratio",7e-05,0.00012,0.56,""
"Total N",7.1,0.026,0.0082,0.0045,"***","yr:Aspect3EWSouthy",0.044,0.014,0.0063,"**"
"Total N",7.1,0.026,0.0082,0.0045,"***","yr:Aspect3Northy",0.05,0.014,0.0019,"***"
"Total P",2.1,0.00093,0.00035,0.015,"*","yr:Depth_mean_m",0.00029,0.00013,0.033,"*"
"Total P",3.1,0.0013,0.00032,0.00048,"***","yr:Volume_m3",2.5e-09,3.7e-09,0.51,""
"Total P",4.1,0.0014,0.00033,0.00047,"***","yr:Watershed_area_ha",2.5e-06,6.5e-06,0.71,""
"Total P",5.1,0.00089,0.00037,0.027,"*","yr:Elevation_m",7.2e-07,3.4e-07,0.044,"*"
"Total P",6.1,0.0014,3e-04,0.00017,"***","yr:Watershed_area_to_lake_area_ratio",2.7e-06,4.9e-06,0.59,""
"Total P",7.1,0.00081,0.00034,0.029,"*","yr:Aspect3EWSouthy",0.00029,0.00061,0.64,""
"Total P",7.1,0.00081,0.00034,0.029,"*","yr:Aspect3Northy",0.0022,0.00059,0.0015,"***"
